"SUID","degree.layout","name","selected","shared name","stage1","stage2","stage3","stage4"
"577","1","SNRPB2","false","SNRPB2","-0.955697217124923","0.863537720362473","0.863606123573215","-0.771446626810765"
"487","1","RBM17","false","RBM17","-0.967700251556038","-0.756493875524392","0.812850005236469","0.91134412184396"
"531","1","EIF4A3","false","EIF4A3","-1.01809439300622","1.23192935647616","-0.566793101756542","0.352958138286603"
"532","1","WDR43","false","WDR43","-0.733668997222242","-0.881172290567598","0.370723377773761","1.24411791001608"
"441","1","PCF11","false","PCF11","-0.658512589376974","-0.966461839806798","1.2074819829615","0.417492446222272"
"536","1","SNW1","false","SNW1","-0.887006414855368","0.354012355500692","1.25286753270969","-0.719873473355014"
"365","1","ADAR","false","ADAR","-0.368447488061466","-0.360383824024811","-0.746613688120135","1.47544500020641"
"593","1","SF3B1","false","SF3B1","-0.84263169336123","0.608595516929861","-0.855657823940248","1.08969400037162"
"497","1","RBM25","false","RBM25","-0.862102014791525","-0.733871006167896","1.2694992465661","0.326473774393324"
"541","1","UBE2I","false","UBE2I","-0.23381832839508","0.691598367044114","0.857903292698447","-1.31568333134748"
"498","1","PRPF40A","false","PRPF40A","-0.962913202942917","-0.501949568024809","1.34395952296991","0.12090324799782"
"405","1","RBM5","false","RBM5","-0.0196810917627258","1.05292448165229","-1.34038341388693","0.307140023997371"
"305","1","CCAR1","false","CCAR1","-0.719172427205222","0.584715787253839","-0.965210340204748","1.09966698015613"
"330","1","DDX3X","false","DDX3X","-0.821994608855226","1.34919849293497","-0.690811680915611","0.163607796835862"
"243","1","SFPQ","false","SFPQ","-1.07814862929375","1.06943761855413","0.593363473193346","-0.584652462453731"
"502","1","G3BP1","false","G3BP1","0.374775233191871","-0.572666685181498","-1.02177187422478","1.21966332621441"
"548","1","SMC3","false","SMC3","-1.44896864238002","0.524558365764066","0.776896427152887","0.147513849463068"
"461","1","SMN1","false","SMN1","0.369531901614205","-0.910338789298965","-0.701320132465061","1.24212702014982"
"462","1","STRAP","false","STRAP","1.35489464348843","-0.80593272913905","-0.701126799440723","0.152164885091347"
"549","1","SMARCA5","false","SMARCA5","-0.544326006307668","1.099667784238","-1.09627876762528","0.540936989694951"
"212","1","BCLAF1","false","BCLAF1","-0.31538929069213","-0.889217729293492","1.43425374556208","-0.229646725576457"
"374","1","CHD4","false","CHD4","0.290746769528882","1.11573534215561","-1.28698115084566","-0.119500960838823"
"416","1","TPR","false","TPR","-0.731300226958124","-0.767147838669849","1.36323171557662","0.135216350051356"
"193","1","TRMT10C","false","TRMT10C","-0.0439082856262686","0.281486029291828","-1.3209985219405","1.08342077827494"
"286","1","LARP4B","false","LARP4B","0.165791790352794","1.23165229807681","-1.18817107565235","-0.209273012777246"
"554","1","LSM7","false","LSM7","1.15532856719412","0.405363495319476","-0.404170220304588","-1.156521842209"
"555","1","LSM3","false","LSM3","0.464908067700048","0.0219270256761387","-1.39773021881404","0.910895125437857"
"470","1","EIF4E","false","EIF4E","0.174167282497722","1.3402237292289","-0.872902128664164","-0.641488883062456"
"379","1","SRSF10","false","SRSF10","1.29075937095103","-0.876806961210831","-0.696604380279494","0.282651970539286"
"315","1","PRKDC","false","PRKDC","-0.585073351790397","1.44577115808436","-0.744223539424383","-0.116474266869578"
"248","1","SETX","false","SETX","0.154325450945688","1.35525788167116","-0.750386538540319","-0.759196794076532"
"516","1","SNRPN","false","SNRPN","0.152812830734841","0.924065152637988","-1.41676658914262","0.339888605769788"
"355","1","U2AF1L4","false","U2AF1L4","0.449154437798426","-0.706068725439601","-0.936137795666961","1.19305208330814"
"561","1","RANBP2","false","RANBP2","1.27696311889004","0.289727509928765","-0.953878888480279","-0.612811740338524"
"518","1","TRA2B","false","TRA2B","0.24624010342261","1.29449779627624","-0.966206419602003","-0.574531480096843"
"386","1","DDX24","false","DDX24","-0.101520033317404","-1.24660435684285","0.160763269178676","1.18736112098158"
"430","44","DHX9","false","DHX9","-0.676512117771636","1.48750808994257","-0.425420378321241","-0.385575593849696"
"388","1","SYNCRIP","false","SYNCRIP","-1.21316241814817","1.09986771773762","0.451685390209626","-0.338390689799071"
"566","1","SNRPC","false","SNRPC","-0.523831203168796","-0.879753481809021","1.3969936435088","0.00659104146901718"
"521","1","CWC15","false","CWC15","0.0977312339226957","1.3642114671426","-0.556705105617686","-0.905237595447613"
"567","1","SNRPB","false","SNRPB","-0.919419052015669","1.16807712926022","-0.740506369915925","0.491848292671373"
"568","1","THOC2","false","THOC2","-0.971348123512377","0.341402056764491","-0.618169891123798","1.24811595787168"
"569","1","ALYREF","false","ALYREF","1.47487257078536","-0.748514910335618","-0.381598975490949","-0.34475868495879"
"341","1","POLR2G","false","POLR2G","-0.934076077082254","1.30303835065314","0.240681396424196","-0.609643669995081"
"394","1","CPSF6","false","CPSF6","-0.409337174338695","1.29083330618517","-1.06431632125594","0.182820189409467"
